# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
    2       1.381683573839e-10       4.179912164915e-15       3.520001181446e-13       0.000000000000e+00       8.242076973012e-09       4.535150691577e-10      -1.842195951558e-12       1.297573548270e-06       1.282264645862e-06       1.257187806755e-06       6.340744977187e-07      -6.236345488764e-09       1.277293431290e-06       1.262384449536e-06       7.017663500143e-07       3.731698854784e-08       1.257653419592e-06       7.668025468199e-07       8.475883019802e-08       1.091000770766e-06       6.713781958356e-07       9.652815447363e-07       1.863775846872e-08       1.825056043811e-08       1.787533348998e-08       1.468503623873e-08       1.228001540353e-08 
    3       1.306702780758e-10       5.354537927498e-15       3.955137373575e-13       0.000000000000e+00       5.066637821443e-09       3.217257103068e-10      -1.394918153851e-12       2.753051300188e-06       2.719740063062e-06       2.666709914479e-06       1.385337706308e-06       6.898532810068e-08       2.707407945605e-06       2.675009787539e-06       1.520902785327e-06       1.570858993599e-07       2.663258436466e-06       1.650998414219e-06       2.529033235508e-07       2.290882021137e-06       1.430909403534e-06       2.012930944165e-06       2.504167406625e-08       2.452447279556e-08       2.402307811827e-08       1.975222699606e-08       1.652325822874e-08 
    4       1.236013099546e-10       4.629183665163e-15       3.698280407294e-13       0.000000000000e+00       3.523897559334e-09       2.437094415296e-10      -9.127576531934e-13       4.874244339153e-06       4.813977399908e-06       4.720445859970e-06       2.519064167745e-06       2.567173036772e-07       4.789283104244e-06       4.730731077997e-06       2.745983988016e-06       4.060294899829e-07       4.707173075162e-06       2.963453911771e-06       5.680825955119e-07       4.017663998408e-06       2.545512378979e-06       3.507109276568e-06       3.111914102337e-08       3.048165147598e-08       2.986345887189e-08       2.459060189073e-08       2.059466447054e-08 
    5       1.183086985247e-10       3.086411255898e-15       3.149063562894e-13       0.000000000000e+00       2.631813089680e-09       1.925513590526e-10      -5.069420677224e-13       7.757950460024e-06       7.660321676806e-06       7.512077996223e-06       4.104448314963e-06       5.990005245955e-07       7.617078293912e-06       7.522306202289e-06       4.447241261973e-06       8.277300360962e-07       7.481011122404e-06       4.775276291759e-06       1.075375198146e-06       6.341824101313e-06       4.071005293833e-06       5.503139551858e-06       3.689111080127e-08       3.614249131274e-08       3.541625131914e-08       2.921061427152e-08       2.449561578268e-08 
    6       1.146791053805e-10       1.724900216514e-15       2.536026481331e-13       0.000000000000e+00       2.056970892157e-09       1.566912541567e-10      -2.081101269591e-13       1.149573379451e-05       1.134903987022e-05       1.113034772542e-05       6.206285389218e-06       1.133434167894e-06       1.128004048847e-05       1.113772782279e-05       6.690743909387e-06       1.461506441554e-06       1.107177869434e-05       7.153641522274e-06       1.815782436655e-06       9.331538565714e-06       6.061060213425e-06       8.055317155255e-06       4.233744173561e-08       4.148704123088e-08       4.066177294256e-08       3.359779130576e-08       2.821450536312e-08 
    7       1.123135367854e-10       9.319198858804e-16       1.991165115605e-13       0.000000000000e+00       1.660451265272e-09       1.303606669476e-10      -1.765459718450e-14       1.617163728093e-05       1.596306042940e-05       1.565683380346e-05       8.883578307794e-06       1.892819504542e-06       1.586025643336e-05       1.565800027945e-05       9.536903836878e-06       2.341942596561e-06       1.555966206355e-05       1.016020625132e-05       2.825644615385e-06       1.305074574165e-05       8.565797948269e-06       1.121537620599e-05       4.746659076405e-08       4.652305792859e-08       4.560708243784e-08       3.775345697988e-08       3.175221337347e-08 
    8       1.109323326541e-10       6.014570808716e-16       1.572162610382e-13       0.000000000000e+00       1.373018890354e-09       1.103879622847e-10       7.940477305087e-14       2.186089473515e-05       2.157670102982e-05       2.116470669259e-05       1.218895330122e-05       2.905328670660e-06       2.143138692644e-05       2.115589144092e-05       1.303981835113e-05       3.498970257151e-06       2.101678791513e-05       1.385038371489e-05       4.136637693861e-06       1.755811545892e-05       1.163103052748e-05       1.503147633619e-05       5.229130049431e-08       5.126282853134e-08       5.026403912283e-08       4.168555495258e-08       3.511214499754e-08 
    9       1.102871974162e-10       4.827518729268e-16       1.291751419962e-13       0.000000000000e+00       1.156550421087e-09       9.489582114441e-11       1.064270855860e-13       2.862941271424e-05       2.825513379388e-05       2.771818536538e-05       1.616839609097e-05       4.194769674184e-06       2.805810892986e-05       2.769536013601e-05       1.724694139876e-05       4.958081551574e-06       2.750663013761e-05       1.827295584968e-05       5.775933153104e-06       2.290643905734e-05       1.529795646297e-05       1.954770008140e-05       5.682363584523e-08       5.571801413336e-08       5.464391430800e-08       4.540253095342e-08       3.830091708556e-08 
   10       1.101476445007e-10       4.110460169826e-16       1.136640731330e-13       0.000000000000e+00       9.886616991739e-10       8.262993511938e-11       8.926724463552e-14       3.653381701355e-05       3.605442601415e-05       3.537257616449e-05       2.086141520171e-05       5.780925699790e-06       3.579614393509e-05       3.533157626306e-05       2.219918463484e-05       6.740616514807e-06       3.508401515320e-05       2.347011408942e-05       7.766432966626e-06       2.914228713456e-05       1.960294297429e-05       2.480373520265e-05       6.107482708373e-08       5.989936101179e-08       5.875700139009e-08       4.891144501622e-08       4.132435150802e-08 
   11       1.104545992970e-10       3.449302583317e-16       1.080219605691e-13       0.000000000000e+00       8.333644428989e-10       7.300832866139e-11       5.201933423808e-14       4.562152929628e-05       4.502162174011e-05       4.417436372099e-05       2.630137044890e-05       7.680060790859e-06       4.469234165318e-05       4.411101071784e-05       2.793121913722e-05       8.864239608254e-06       4.379521503163e-05       2.947773459338e-05       1.012721385004e-05       3.630608007437e-05       2.457756143622e-05       3.083465167274e-05       6.488429176271e-08       6.364894063271e-08       6.244793129824e-08       5.207857613430e-08       4.406474183245e-08 
