# SD_tot is the amplitude of the overall spectral distortion (SD)
# The SD[i] are the amplitudes of the individual SDs
# The SDs are given in units [10^-26 W m^-2 Hz^-1 sr^-1] 
#
# 1:Dimensionless frequency x     2:Frequency nu [GHz]     3:SD_tot                 4:SD[g]                  5:SD[y]                  6:SD[mu]                 7:SD[e_0]                8:SD[e_1]            
       5.282594766043e-01       3.000000000000e+01      -8.558044458807e+00       0.000000000000e+00      -4.877304340705e-01      -9.847255252588e+00       1.605170645635e+00       1.717705822167e-01 
       7.923892149064e-01       4.500000000000e+01      -1.162842472384e+01       0.000000000000e+00      -1.034929472769e+00      -1.207292701958e+01       1.408161036967e+00       7.127073154802e-02 
       1.056518953209e+00       6.000000000000e+01      -1.334231133091e+01       0.000000000000e+00      -1.693802718729e+00      -1.254649083802e+01       9.174572176549e-01      -1.947499181629e-02 
       1.320648691511e+00       7.500000000000e+01      -1.355064941228e+01       0.000000000000e+00      -2.376439471146e+00      -1.143613529644e+01       3.354400069673e-01      -7.351465166120e-02 
       1.584778429813e+00       9.000000000000e+01      -1.226977212120e+01       0.000000000000e+00      -2.993209138954e+00      -8.991677827123e+00      -1.963687651986e-01      -8.851638992586e-02 
       1.848908168115e+00       1.050000000000e+02      -9.648958097505e+00       0.000000000000e+00      -3.464146487190e+00      -5.516984979174e+00      -5.940514391806e-01      -7.377519195991e-02 
       2.113037906417e+00       1.200000000000e+02      -5.932650355510e+00       0.000000000000e+00      -3.727890116562e+00      -1.340691353929e+00      -8.218494216242e-01      -4.221946339433e-02 
       2.377167644719e+00       1.350000000000e+02      -1.423700190703e+00       0.000000000000e+00      -3.747116408077e+00       3.211162335805e+00      -8.818308636270e-01      -5.915254803860e-03 
       2.641297383021e+00       1.500000000000e+02       3.553561085093e+00       0.000000000000e+00      -3.510210254219e+00       7.838034036736e+00      -8.004346345897e-01       2.617193716614e-02 
       2.905427121324e+00       1.650000000000e+02       8.683759503961e+00       0.000000000000e+00      -3.029541100341e+00       1.228171317459e+01      -6.171494664161e-01       4.873689613012e-02 
       3.169556859626e+00       1.800000000000e+02       1.368399320246e+01       0.000000000000e+00      -2.337212208586e+00       1.633652774973e+01      -3.751047206277e-01       5.978238194763e-02 
       3.433686597928e+00       1.950000000000e+02       1.831954719206e+01       0.000000000000e+00      -1.479306331565e+00       1.985334545910e+01      -1.143095403550e-01       5.981760488661e-02 
       3.697816336230e+00       2.100000000000e+02       2.241211915847e+01       0.000000000000e+00      -5.096984469666e-01       2.273833212916e+01       1.325228088002e-01       5.096266747474e-02 
       3.961946074532e+00       2.250000000000e+02       2.584119485946e+01       0.000000000000e+00       5.157538303692e-01       2.494772577976e+01       3.416865159637e-01       3.602873336764e-02 
       4.226075812834e+00       2.400000000000e+02       2.854116716701e+01       0.000000000000e+00       1.544051571727e+00       2.648023272412e+01       4.988594773581e-01       1.802339380568e-02 
       4.490205551136e+00       2.550000000000e+02       3.049424516398e+01       0.000000000000e+00       2.528630943423e+00       2.736800898977e+01       5.980010770201e-01      -3.958462338328e-04 
       4.754335289439e+00       2.700000000000e+02       3.172186271938e+01       0.000000000000e+00       3.431609946955e+00       2.766763243238e+01       6.397542949395e-01      -1.713395489633e-02 
       5.018465027741e+00       2.850000000000e+02       3.227525427983e+01       0.000000000000e+00       4.224817369711e+00       2.745157743295e+01       6.296070631606e-01      -3.074758599040e-02 
       5.282594766043e+00       3.000000000000e+02       3.222633915806e+01       0.000000000000e+00       4.889811092495e+00       2.680076921850e+01       5.761912587326e-01      -4.043241166478e-02 
       5.546724504345e+00       3.150000000000e+02       3.165914447972e+01       0.000000000000e+00       5.417166130224e+00       2.579848771213e+01       4.894015543127e-01      -4.591091695016e-02 
       5.810854242647e+00       3.300000000000e+02       3.066336995702e+01       0.000000000000e+00       5.805261927908e+00       2.452575121186e+01       3.797081335043e-01      -4.735131625516e-02 
       6.074983980949e+00       3.450000000000e+02       2.932834088625e+01       0.000000000000e+00       6.058814368372e+00       2.305786345683e+01       2.568810761298e-01      -4.521801507537e-02 
       6.339113719251e+00       3.600000000000e+02       2.773904733309e+01       0.000000000000e+00       6.187356925736e+00       2.146233814419e+01       1.295104284311e-01      -4.015816526482e-02 
       6.603243457554e+00       3.750000000000e+02       2.597317690442e+01       0.000000000000e+00       6.203745550880e+00       1.979764247074e+01       4.690465935121e-03      -3.290158313435e-02 
       6.867373195856e+00       3.900000000000e+02       2.409944707977e+01       0.000000000000e+00       6.122863583557e+00       1.811284346316e+01      -1.120691857674e-01      -2.419078117281e-02 
       7.131502934158e+00       4.050000000000e+02       2.217662900857e+01       0.000000000000e+00       5.960486007796e+00       1.644772897025e+01      -2.168964467521e-01      -1.468952273046e-02 
       7.395632672460e+00       4.200000000000e+02       2.025358250006e+01       0.000000000000e+00       5.732391197907e+00       1.483344985285e+01      -3.072548138093e-01      -5.003736882750e-03 
       7.659762410762e+00       4.350000000000e+02       1.836947678731e+01       0.000000000000e+00       5.453682862003e+00       1.329328316590e+01      -3.818674802596e-01       4.378239673709e-03 
       7.923892149064e+00       4.500000000000e+02       1.655460635203e+01       0.000000000000e+00       5.138308621894e+00       1.184367455357e+01      -4.404575981253e-01       1.308077469207e-02 
       8.188021887366e+00       4.650000000000e+02       1.483126011186e+01       0.000000000000e+00       4.798748107112e+00       1.049519688050e+01      -4.835221893645e-01       2.083731360654e-02 
       8.452151625668e+00       4.800000000000e+02       1.321483195524e+01       0.000000000000e+00       4.445860392198e+00       9.253625201703e+00      -5.121316503613e-01       2.747801170381e-02 
       8.716281363971e+00       4.950000000000e+02       1.171486847852e+01       0.000000000000e+00       4.088833142468e+00       8.120809768481e+00      -5.277005820729e-01       3.292614964179e-02 
       8.980411102273e+00       5.100000000000e+02       1.033605960278e+01       0.000000000000e+00       3.735216516838e+00       7.095570440667e+00      -5.318928835742e-01       3.716552884853e-02 
       9.244540840575e+00       5.250000000000e+02       9.079239480170e+00       0.000000000000e+00       3.391018095726e+00       6.174437531701e+00      -5.264540914838e-01       4.023794422663e-02 
       9.508670578877e+00       5.400000000000e+02       7.942236057631e+00       0.000000000000e+00       3.060841543612e+00       5.352291206346e+00      -5.131215336862e-01       4.222484136001e-02 
       9.772800317179e+00       5.550000000000e+02       6.920634361096e+00       0.000000000000e+00       2.748052054808e+00       4.622900361728e+00      -4.935523623520e-01       4.323430691146e-02 
       1.003693005548e+01       5.700000000000e+02       6.008396121564e+00       0.000000000000e+00       2.454934340628e+00       3.979359130286e+00      -4.692880202414e-01       4.339067089062e-02 
